order_item_id,order_id,product_id,quantity,unit_price,total_price
1,2089,299,3,10.57,31.71
2,2244,52,1,1713.47,1713.47
3,2422,460,3,53.88,161.64
4,590,242,5,899.18,4495.9
5,2226,222,3,1222.06,3666.18
6,2205,217,1,102.71,102.71
7,1528,126,1,47.88,47.88
8,982,16,3,21.47,64.41
9,1792,54,2,177.79,355.58
10,1663,103,1,168.49,168.49
11,1320,352,1,21.21,21.21
12,265,33,4,36.04,144.16
13,235,94,2,124.81,249.62
14,937,140,1,22.98,22.98
15,99,465,4,151.9,607.6
16,1874,291,4,62.85,251.4
17,834,370,1,460.14,460.14
18,1810,414,3,32.14,96.42
19,1346,248,4,235.92,943.68
20,1790,308,1,197.22,197.22
21,2153,100,3,128.64,385.92
22,241,165,5,10.39,51.95
23,1203,227,4,1612.51,6450.04
24,2110,397,5,97.03,485.15
25,629,466,1,43.61,43.61
26,26,305,3,64.25,192.75
27,510,193,2,56.68,113.36
28,225,250,2,40.88,81.76
29,1165,480,3,138.76,416.28
30,1929,19,3,34.49,103.47
31,1161,261,1,64.39,64.39
32,1195,346,2,78.72,157.44
33,838,172,2,450.87,901.74
34,1107,409,5,62.83,314.15
35,1598,363,3,30.19,90.57
36,508,252,3,175.2,525.6
37,955,99,4,42.94,171.76
38,1077,201,5,20.18,100.9
39,1474,55,3,88.59,265.77
40,1939,425,1,50.74,50.74
41,2481,49,4,36.01,144.04
42,807,108,3,43.88,131.64
43,1839,322,3,134.71,404.13
44,671,157,2,212.65,425.3
45,2343,196,1,36.96,36.96
46,1067,370,3,460.14,1380.42
47,1622,134,4,15.54,62.16
48,540,460,5,53.88,269.4
49,1287,444,1,276.46,276.46
50,1498,431,3,226.93,680.79
51,56,298,4,137.17,548.68
52,1978,332,1,20.41,20.41
53,2,462,5,290.55,1452.75
54,1404,109,1,62.66,62.66
55,1326,473,5,160.59,802.95
56,2477,50,5,43.57,217.85
57,1373,67,5,47.52,237.6
58,441,377,4,57.24,228.96
59,854,324,4,74.42,297.68
60,565,443,3,17.52,52.56
61,2460,482,4,26.78,107.12
62,599,381,5,19.94,99.7
63,919,469,2,27.64,55.28
64,1472,169,4,186.87,747.48
65,576,433,3,10.07,30.21
66,2210,488,4,47.8,191.2
67,1146,55,1,88.59,88.59
68,342,42,5,90.48,452.4
69,2448,328,2,53.11,106.22
70,810,333,2,240.47,480.94
71,1506,327,3,126.09,378.27
72,1782,304,5,951.76,4758.8
73,568,112,4,17.58,70.32
74,89,405,3,1223.24,3669.72
75,1099,434,5,49.87,249.35
76,352,341,4,59.37,237.48
77,489,359,4,53.26,213.04
78,576,71,5,41.29,206.45
79,313,161,1,183.22,183.22
80,546,461,3,37.37,112.11
81,1281,309,4,20.47,81.88
82,840,411,1,40.37,40.37
83,507,331,2,65.98,131.96
84,815,189,2,30.28,60.56
85,1217,418,4,134.86,539.44
86,1074,195,4,172.13,688.52
87,2330,37,1,168.04,168.04
88,2108,87,5,192.95,964.75
89,1571,145,3,87.37,262.11
90,1980,231,2,1595.61,3191.22
91,1971,193,1,56.68,56.68
92,1360,397,1,97.03,97.03
93,1928,345,5,35.23,176.15
94,449,329,2,43.29,86.58
95,2076,365,2,22.34,44.68
96,2291,379,1,37.51,37.51
97,1614,21,5,42.95,214.75
98,1422,466,3,43.61,130.83
99,845,87,4,192.95,771.8
100,916,336,4,12.98,51.92
101,1020,455,2,40.5,81.0
102,332,487,2,138.3,276.6
103,759,205,2,19.42,38.84
104,418,59,2,248.24,496.48
105,494,431,5,226.93,1134.65
106,1865,142,4,97.11,388.44
107,707,481,2,49.26,98.52
108,1454,457,2,10.57,21.14
109,337,253,2,82.55,165.1
110,570,105,5,45.66,228.3
111,26,70,4,194.01,776.04
112,2121,11,3,53.63,160.89
113,2039,237,3,24.89,74.67
114,1568,128,1,38.41,38.41
115,2032,93,2,54.25,108.5
116,1783,130,5,41.39,206.95
117,506,301,2,558.9,1117.8
118,1811,418,3,134.86,404.58
119,1528,392,2,35.62,71.24
120,530,442,2,19.09,38.18
121,1704,75,4,323.09,1292.36
122,1151,446,4,361.96,1447.84
123,1479,76,4,9.2,36.8
124,527,147,5,289.77,1448.85
125,2257,36,5,20.31,101.55
126,1190,212,2,43.24,86.48
127,1294,500,3,175.7,527.1
128,14,65,2,70.4,140.8
129,1288,197,4,135.87,543.48
130,25,414,4,32.14,128.56
131,2476,401,2,498.85,997.7
132,654,114,5,152.22,761.1
133,373,100,2,128.64,257.28
134,1166,74,2,293.77,587.54
135,958,441,5,97.86,489.3
136,2221,380,3,41.63,124.89
137,1564,284,2,22.44,44.88
138,1598,411,1,40.37,40.37
139,945,338,2,173.05,346.1
140,1749,3,2,26.19,52.38
141,350,365,2,22.34,44.68
142,2398,295,1,39.05,39.05
143,1191,189,5,30.28,151.4
144,1267,469,1,27.64,27.64
145,517,61,3,21.85,65.55
146,1275,221,1,56.85,56.85
147,957,31,1,17.37,17.37
148,416,308,4,197.22,788.88
149,2014,420,5,163.63,818.15
150,674,355,2,42.69,85.38
151,1486,248,2,235.92,471.84
152,466,260,2,50.36,100.72
153,896,119,5,254.39,1271.95
154,1057,224,3,50.63,151.89
155,2240,279,3,16.56,49.68
156,1359,199,2,33.04,66.08
157,127,157,2,212.65,425.3
158,1666,375,3,62.45,187.35
159,1698,40,4,30.42,121.68
160,213,493,1,54.7,54.7
161,1672,206,5,45.8,229.0
162,1487,388,5,15.05,75.25
163,2046,307,5,43.66,218.3
164,1563,305,2,64.25,128.5
165,1930,132,5,41.64,208.2
166,951,238,1,54.26,54.26
167,249,182,4,18.31,73.24
168,546,69,3,259.22,777.66
169,2161,219,3,31.22,93.66
170,394,213,1,65.92,65.92
171,1728,10,3,35.19,105.57
172,412,243,3,56.14,168.42
173,1748,450,3,33.27,99.81
174,1327,345,2,35.23,70.46
175,354,40,4,30.42,121.68
176,1372,364,1,157.44,157.44
177,1381,439,4,1837.39,7349.56
178,92,301,3,558.9,1676.7
179,247,424,4,924.51,3698.04
180,742,355,5,42.69,213.45
181,390,37,5,168.04,840.2
182,2048,295,5,39.05,195.25
183,1050,32,1,36.44,36.44
184,2086,475,2,218.49,436.98
185,1668,204,5,46.65,233.25
186,1659,18,2,178.99,357.98
187,193,91,1,81.18,81.18
188,217,166,1,39.81,39.81
189,658,334,1,22.93,22.93
190,32,41,4,480.19,1920.76
191,1621,17,3,31.74,95.22
192,1526,257,2,13.06,26.12
193,1595,136,2,68.76,137.52
194,1685,185,2,68.1,136.2
195,1122,9,2,437.61,875.22
196,2080,52,4,1713.47,6853.88
197,1340,459,2,53.3,106.6
198,2200,485,2,22.1,44.2
199,2086,137,4,59.63,238.52
200,1216,256,4,175.24,700.96
201,537,43,4,87.93,351.72
202,3,94,4,124.81,499.24
203,921,78,2,1094.06,2188.12
204,585,21,2,42.95,85.9
205,2294,150,1,68.63,68.63
206,848,330,4,44.43,177.72
207,1866,69,5,259.22,1296.1
208,1817,311,1,475.7,475.7
209,127,192,4,42.22,168.88
210,1787,26,4,173.16,692.64
211,1073,88,3,24.07,72.21
212,1901,307,4,43.66,174.64
213,24,470,1,18.69,18.69
214,23,59,4,248.24,992.96
215,1905,344,1,39.33,39.33
216,976,119,2,254.39,508.78
217,813,399,5,71.86,359.3
218,1705,258,3,34.33,102.99
219,1532,230,1,12.95,12.95
220,2340,398,2,237.21,474.42
221,1114,55,4,88.59,354.36
222,386,348,1,5.26,5.26
223,1372,372,3,203.87,611.61
224,1826,237,5,24.89,124.45
225,2121,60,3,1576.99,4730.97
226,2278,56,2,60.9,121.8
227,2384,91,5,81.18,405.9
228,1466,180,5,432.09,2160.45
229,2074,488,3,47.8,143.4
230,1381,152,2,70.59,141.18
231,2357,372,3,203.87,611.61
232,1497,38,1,32.14,32.14
233,1514,162,1,51.77,51.77
234,769,59,4,248.24,992.96
235,1954,99,3,42.94,128.82
236,233,465,1,151.9,151.9
237,333,82,2,48.26,96.52
238,1151,489,4,88.05,352.2
239,894,403,3,208.42,625.26
240,2337,197,1,135.87,135.87
241,950,216,4,316.91,1267.64
242,98,241,4,101.95,407.8
243,1250,435,3,12.96,38.88
244,1533,162,5,51.77,258.85
245,2285,237,2,24.89,49.78
246,533,233,4,1143.94,4575.76
247,1978,156,4,446.9,1787.6
248,1155,174,4,80.98,323.92
249,1860,231,2,1595.61,3191.22
250,2430,331,3,65.98,197.94
251,2030,95,5,76.13,380.65
252,493,411,1,40.37,40.37
253,1577,371,4,129.51,518.04
254,922,80,2,33.99,67.98
255,821,488,1,47.8,47.8
256,2389,461,1,37.37,37.37
257,593,164,2,143.24,286.48
258,589,130,4,41.39,165.56
259,84,479,2,142.79,285.58
260,157,409,5,62.83,314.15
261,2003,31,3,17.37,52.11
262,1341,47,4,87.81,351.24
263,1895,456,3,39.61,118.83
264,1125,84,4,6.04,24.16
265,404,41,1,480.19,480.19
266,433,206,3,45.8,137.4
267,398,205,5,19.42,97.1
268,1191,30,4,72.53,290.12
269,712,348,3,5.26,15.78
270,460,139,3,38.32,114.96
271,618,397,5,97.03,485.15
272,699,158,4,191.11,764.44
273,794,264,5,51.18,255.9
274,120,5,2,23.44,46.88
275,1688,120,1,41.71,41.71
276,2034,177,5,74.94,374.7
277,2407,437,2,11.99,23.98
278,2214,294,5,956.29,4781.45
279,971,41,5,480.19,2400.95
280,1355,85,4,478.53,1914.12
281,2324,105,5,45.66,228.3
282,2431,121,5,16.58,82.9
283,1966,326,3,80.44,241.32
284,2169,426,5,34.78,173.9
285,213,362,1,60.33,60.33
286,416,156,3,446.9,1340.7
287,31,323,5,1447.42,7237.1
288,2486,288,5,656.63,3283.15
