product_id,supplier_id,supply_price,lead_time_days,min_order_quantity
1,2,22.13,30,64
2,4,922.6,17,45
3,3,14.02,22,11
4,1,73.39,30,62
4,4,92.42,22,99
5,1,11.9,20,23
6,1,9.49,29,80
6,4,13.23,13,64
7,5,818.73,13,82
7,3,1012.21,5,61
7,4,708.15,26,52
8,2,22.32,9,98
8,4,32.3,13,53
8,5,26.31,24,81
9,5,277.36,25,79
10,5,23.8,6,72
10,2,20.9,24,45
11,3,26.59,26,89
12,4,16.5,24,55
12,5,20.09,25,66
12,3,23.8,10,50
13,1,95.33,25,78
14,2,80.3,29,59
14,3,85.23,24,54
15,3,16.48,17,46
16,1,11.53,25,61
16,5,11.45,14,96
17,2,14.48,21,50
17,4,15.74,5,27
17,3,18.08,26,59
18,3,97.98,19,59
19,1,13.68,17,59
20,2,188.92,22,61
21,5,18.23,11,49
21,3,23.58,9,44
22,2,73.74,24,90
22,3,76.87,26,62
23,5,20.54,8,60
23,3,18.36,10,73
24,3,12.63,26,47
24,2,10.37,7,56
24,1,14.31,20,26
25,3,23.84,9,51
26,1,86.26,11,53
27,4,17.55,28,59
28,2,36.83,15,76
29,4,4.99,17,18
29,1,5.3,8,56
29,3,6.38,6,53
30,3,34.89,16,39
31,3,6.47,7,34
31,5,7.99,21,44
32,3,20.84,5,52
32,1,18.65,24,39
33,5,25.51,12,29
33,3,20.37,27,25
34,2,25.69,9,84
35,4,26.55,28,38
35,3,24.81,30,45
36,5,13.38,7,45
36,2,14.51,30,78
36,1,14.83,20,75
37,4,68.44,30,35
38,5,23.9,19,71
38,3,21.79,22,29
38,2,22.61,14,15
39,4,15.81,8,64
40,3,14.87,7,37
40,2,17.26,23,97
40,4,20.09,21,20
41,2,222.83,5,15
41,5,296.26,23,59
41,3,227.22,14,30
42,1,46.74,19,76
42,3,55.29,29,65
43,3,38.75,16,74
44,5,949.95,14,54
44,1,1110.82,18,37
45,3,18.62,21,78
45,5,17.36,28,73
45,4,22.86,9,50
46,2,39.98,10,26
46,4,45.97,11,51
47,2,46.42,19,77
48,5,34.79,10,80
48,4,27.55,6,41
48,3,30.63,16,39
49,3,17.42,10,75
49,1,18.86,10,10
49,4,19.02,19,60
50,4,28.66,17,100
50,5,24.06,9,79
51,2,31.03,14,51
51,5,28.28,21,67
51,3,21.72,26,26
52,4,876.8,15,36
53,5,16.52,11,59
54,4,83.11,11,23
54,2,83.51,29,100
54,5,75.23,9,22
55,4,64.41,20,47
55,1,65.79,7,42
55,2,67.69,13,38
56,1,44.53,8,11
57,5,16.81,14,55
57,1,17.3,30,86
58,4,19.44,16,100
58,5,16.32,13,36
59,1,124.64,30,88
60,4,765.96,8,97
60,2,1041.63,12,39
61,5,13.57,30,84
62,5,22.62,18,88
62,2,25.78,7,13
63,1,28.9,30,91
64,4,16.86,14,86
64,1,19.68,16,79
65,1,33.55,22,62
65,5,37.41,28,77
65,3,35.93,7,70
66,5,58.35,27,26
66,4,51.36,23,85
66,2,52.28,24,42
67,1,31.36,12,75
68,4,66.58,14,84
69,2,141.91,11,37
70,4,113.02,10,39
71,1,21.17,22,15
71,5,26.72,19,11
71,3,20.88,11,97
72,2,3.15,28,77
73,1,262.58,22,69
74,3,130.69,28,73
74,1,119.85,19,12
75,4,197.26,18,55
76,2,3.94,26,67
76,4,4.65,27,27
77,4,28.96,22,29
78,1,593.86,10,97
79,1,45.15,8,84
79,4,50.31,11,74
79,3,42.95,22,31
80,4,23.23,13,66
80,1,19.39,13,100
81,2,22.77,11,11
82,2,21.18,16,92
82,4,20.12,18,82
83,5,25.14,6,61
84,3,3.55,17,14
84,5,3.86,22,55
85,4,247.9,11,42
86,5,38.19,11,53
86,4,33.04,28,45
86,3,33.79,22,21
87,5,98.66,26,49
88,4,14.13,9,43
88,1,13.11,5,59
89,3,67.41,22,97
89,2,62.98,29,100
89,1,60.89,22,100
90,5,88.3,30,58
90,3,67.7,21,22
90,1,62.61,18,53
91,2,32.18,16,80
91,4,38.44,27,57
91,3,35.24,13,31
92,4,108.15,20,83
93,2,29.49,11,62
94,5,66.73,17,53
95,4,44.13,20,61
95,3,43.5,21,73
95,1,43.77,16,82
96,2,314.33,22,64
97,2,486.04,29,49
98,4,8.29,24,19
99,2,27.46,29,81
99,5,23.68,22,93
99,4,29.78,14,32
